EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,MaximaStatus,TotalStatus,NumDiasDeChuvaStatus,TotalAnual,TotalAnualStatus,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Chuva01Status,Chuva02Status,Chuva03Status,Chuva04Status,Chuva05Status,Chuva06Status,Chuva07Status,Chuva08Status,Chuva09Status,Chuva10Status,Chuva11Status,Chuva12Status,Chuva13Status,Chuva14Status,Chuva15Status,Chuva16Status,Chuva17Status,Chuva18Status,Chuva19Status,Chuva20Status,Chuva21Status,Chuva22Status,Chuva23Status,Chuva24Status,Chuva25Status,Chuva26Status,Chuva27Status,Chuva28Status,Chuva29Status,Chuva30Status,Chuva31Status.................................,
2651028,1,1/7/1980,1,32,144.4,12,6,1,1,1,,,22.2,0,0,0,0,0,25,0,20.2,0,0,32,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,25,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/8/1980,1,55,146.9,26,5,1,1,1,,,0,0,0,0,0,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8.5,0,0,49,55,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/9/1980,1,51,172.8,2,7,1,1,1,,,0,51,24,0,0,0,0,0,19.8,0,0,0,0,0,0,20,0,0,6.8,0,12.2,0,0,0,0,0,0,39,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/10/1980,1,33,133.2,29,6,1,1,1,,,0,0,0,0,0,0,22.8,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,14.2,0,0,0,0,17.2,33,0,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/11/1980,1,29.2,109.4,8,4,1,1,1,,,0,0,0,0,0,0,25.5,29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,0,0,0,0,0,28.2,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/12/1980,1,93,281.4,21,11,1,1,1,,,0,0,0,20,0,9,0,0,0,0,0,5.2,24,25,0,0,0,0,33.2,0,93,8.2,0,0,0,16.8,0,10,37,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/1/1981,1,40,130.8,19,9,1,1,1,,,0,3.2,0,0,2.2,0,14,0,0,7,0,0,0,15.2,0,0,0,0,40,25,0,14,0,0,10.2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/2/1981,1,44,251.7,26,12,1,1,1,,,0,10.4,0,21,0,30,32.2,0,0,18.8,18,20,14.8,23,0,0,0,0,0,8,11.5,0,0,0,0,44,0,0,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,...
2651028,1,1/3/1981,1,51,121.6,3,6,1,1,1,,,0,0,51,0,7,0,0,13,21,0,0,0,0,0,0,24.4,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/4/1981,1,140.7,236.1,26,5,1,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,16.2,0,0,140.7,42.2,9,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/5/1981,1,21.5,58,4,5,1,1,1,,,2,0,0,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,13,0,18,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/6/1981,1,50.5,125.5,7,8,1,1,1,,,0,0,5,0,0,0,50.5,6.2,0,20.2,0,0,0,0,0,14.2,0,0,0,0,0,0,3.4,14.6,11.4,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/7/1981,1,7,18.7,17,3,1,1,1,,,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/8/1981,1,33,143.5,14,7,1,1,1,,,0,0,0,0,0,0,0,14,0,0,0,0,0,33,0,9,0,0,0,0,27.5,0,11.5,0,0,0,0,0,19,0,29.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/9/1981,1,21,79.6,27,6,1,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,16.8,0,0,12,0,8,21,0,6.6,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/10/1981,1,54.8,186.9,27,7,1,1,1,,,0,0,0,30.5,0,0,0,17.2,0,19,0,0,0,0,0,17,0,0,0,23.8,0,0,0,0,0,0,54.8,24.6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/11/1981,1,48.2,181,7,9,1,1,1,,,0,0,17.6,18,0,0,48.2,0,0,33.5,0,0,0,3,0,0,0,0,4.8,0,0,0,0,0,0,0,9,0,4.7,42.2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/12/1981,1,57.2,198.8,1,12,1,1,1,,,57.2,0,0,0,0,43.5,0,0,5.6,0,0,0,0,9.8,0,0,0,0,5,5.5,10,11,36.8,0,0,8,1,0,5.4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/1/1982,1,65,91,9,4,1,1,1,,,0,0,0,0,0,0,0,0,65,0,3,0,0,0,0,0,0,10,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/2/1982,1,70,280.6,5,12,1,1,1,,,0,0,0,8,70,10.2,0,0,5.5,63.6,5.6,0,0,0,0,7.4,0,46.8,0,11.8,0,0,27.7,19,0,0,0,5,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,...
2651028,1,1/3/1982,1,19,43.6,29,6,1,1,1,,,3.2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3.2,0,4.4,0,0,0,0,6.8,0,0,0,0,0,19,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2651028,1,1/4/1982,1,18.2,45.6,15,3,1,1,1,,,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,18.2,0,0,0,0,0,16.6,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,.
2651028,1,1/5/1982,1,84,135.2,11,5,1,1,1,,,0,0,0,0,0,0,0,0,0,0,84,0,0,0,9.8,0,0,0,7,0,0,0,0,0,31.2,3.2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
