EstacaoCodigo,NivelConsistencia,Data,TipoMedicaoChuvas,Maxima,Total,DiaMaxima,NumDiasDeChuva,MaximaStatus,TotalStatus,NumDiasDeChuvaStatus,TotalAnual,TotalAnualStatus,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31,Chuva01Status,Chuva02Status,Chuva03Status,Chuva04Status,Chuva05Status,Chuva06Status,Chuva07Status,Chuva08Status,Chuva09Status,Chuva10Status,Chuva11Status,Chuva12Status,Chuva13Status,Chuva14Status,Chuva15Status,Chuva16Status,Chuva17Status,Chuva18Status,Chuva19Status,Chuva20Status,Chuva21Status,Chuva22Status,Chuva23Status,Chuva24Status,Chuva25Status,Chuva26Status,Chuva27Status,Chuva28Status,Chuva29Status,Chuva30Status,Chuva31Status
2651020,1,1/12/79,1,34.6,164,4,17,1,1,0,192.459.997.558.594,1,12.6,7.2,0.4,34.6,0,5.8,0,0,13.8,2,8.2,0,0,4.4,22.4,11.2,0,0,4.6,6.2,4.2,7.6,6.8,0,0,0,0,0,0,0,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/1/80,1,73.6,198.6,25,10,1,1,0,185.990.002.441.406,1,0,0,0,0,0,0,38.2,5.2,17.8,0,0,0,0,0,0,0,0,20.4,1,1.8,0,0,0,38.4,73.6,1.2,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/2/80,1,46.6,151.8,29,11,1,1,0,185.990.002.441.406,1,7.8,0,0,0,0,0,0,0,0,0,17.2,0.8,0,0,0,0,0.6,18,8.4,0,0,0,0,0,3.6,7,24.8,17,46.6,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
2651020,1,1/3/80,1,33.4,144.1,2,11,1,1,0,185.990.002.441.406,1,28.4,33.4,0,0,0,0,0,0,0,25.2,6.1,24,9.6,2.8,0,0,1.8,0,0,0,0,0,0,0,0,0,0,2.6,1.2,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/4/80,1,26,70.8,13,7,1,1,0,185.990.002.441.406,1,0,0,0,0,14.6,0,0,0,0,3.6,2,2.4,26,17.4,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/5/80,1,65.6,171,10,11,1,1,0,185.990.002.441.406,1,0,10.6,0,0,0,0,0,14,6.8,65.6,8.6,0,1,0,0,0,0,0,16,0.4,44.2,2.8,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/6/80,1,23.8,100,26,7,1,1,0,185.990.002.441.406,1,0,0,0,0,0,0,0,0,0,0,0,0,16.6,0,0,0,0,0,0,10.2,16,8,0,1.8,23.6,23.8,0,0,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/7/80,1,50.6,218.2,9,12,1,1,0,185.990.002.441.406,1,37.2,8.4,8.6,1,0,0,0,0,50.6,15.4,2,23.4,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,16,0,0,40.2,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/8/80,1,53.8,139.8,25,10,1,1,0,185.990.002.441.406,1,0,0,0,0,0,17.2,0,0,4,3.6,0,0,0,0,0.8,0,0,0,0,0,8.8,3.8,7,3.2,53.8,37.6,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2651020,1,1/9/80,1,36.6,165.2,3,11,1,1,0,185.990.002.441.406,1,0,19.2,36.6,0,0,0,0,0,15.4,0,0,0,0,0,6.4,5.6,0,0,7.6,16.6,12.6,6,5.8,0,0,0,0,33.4,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2651020,1,1/10/80,1,27.6,135.4,31,8,1,1,0,185.990.002.441.406,1,0,0,0,0,0,0,0,22.8,0,0,8,18.4,0,0,0,0,0,0,6.8,0,0,0,12.4,0,0,0,0,27.4,12,0,27.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
